line;name;time;longitude;latitude
西线1号线;1号线1站;8:10;37.616228;-122.424086
西线1号线;1号线2站;9:10;38.616228;-121.424086
西线1号线;1号线3站;10:10;39.616228;-120.424086
西线1号线;1号线4站;11:10;40.616228;-119.424086
西线1号线;1号线5站;12:10;41.616228;-118.424086
西线1号线;1号线6站;13:10;42.616228;-117.424086
西线1号线;1号线7站;14:10;43.616228;-116.424086
西线1号线;1号线8站;15:10;44.616228;-115.424086
西线1号线;1号线9站;16:10;45.616228;-114.424086
西线2号线;2号线1站;7:00;46.616228;-113.424086
西线2号线;2号线2站;8:00;47.616228;-112.424086
西线2号线;2号线3站;9:00;48.616228;-111.424086
西线2号线;2号线4站;10:00;49.616228;-110.424086
西线2号线;2号线5站;11:00;50.616228;-109.424086
西线2号线;2号线6站;12:00;51.616228;-108.424086
西线2号线;2号线7站;13:00;52.616228;-107.424086
西线2号线;2号线8站;14:00;53.616228;-106.424086
西线2号线;2号线9站;15:00;54.616228;-105.424086
西线2号线;2号线10站;16:00;55.616228;-104.424086
西线2号线;2号线11站;17:00;56.616228;-103.424086
西线2号线;2号线12站;18:00;57.616228;-102.424086
西线2号线;2号线13站;19:00;58.616228;-101.424086
西线2号线;2号线14站;20:00;59.616228;-100.424086
西线2号线;2号线15站;21:00;60.616228;-99.424086
